county_fips,year,total_population,state_fips,death_drug_poisonings_unintentional,total_morphine_mg,state,county_name,mortality_rate,mean_mortality_rate_per_state_year,filled_mortality_rate
23,2011,67317.0,12,,50971450.005,FL,COLUMBIA,,14.807061928930487,14.807061928930487
23,2012,67884.0,12,16.0,49738162.665,FL,COLUMBIA,23.569618761416532,13.184114832066342,23.569618761416532
23,2013,67417.0,12,11.0,43285150.230225004,FL,COLUMBIA,16.316359375231766,11.630726530637734,16.316359375231766
23,2014,67779.0,12,11.0,43497964.983862504,FL,COLUMBIA,16.229215538736184,12.109261541833874,16.229215538736184
23,2015,68222.0,12,10.0,45363478.83,FL,COLUMBIA,14.658028202046262,14.987429129395773,14.658028202046262
27,2006,34300.0,12,,7179897.8465,FL,DE SOTO,,14.028622030911139,14.028622030911139
27,2007,34537.0,12,,7727044.2767925,FL,DE SOTO,,14.088496419709609,14.088496419709609
27,2008,34374.0,12,,7953604.365,FL,DE SOTO,,15.208641162050228,15.208641162050228
27,2009,34592.0,12,,9829462.92,FL,DE SOTO,,14.500168263534942,14.500168263534942
27,2010,34934.0,12,,13091753.0925,FL,DE SOTO,,15.664955201489008,15.664955201489008
27,2011,34845.0,12,,18280665.075,FL,DE SOTO,,14.807061928930487,14.807061928930487
27,2012,35005.0,12,,16695973.7925,FL,DE SOTO,,13.184114832066342,13.184114832066342
27,2013,34905.0,12,,12868659.5063625,FL,DE SOTO,,11.630726530637734,11.630726530637734
27,2014,35338.0,12,,13081303.6913625,FL,DE SOTO,,12.109261541833874,12.109261541833874
27,2015,35648.0,12,,11603321.34,FL,DE SOTO,,14.987429129395773,14.987429129395773
29,2006,15892.0,12,,2952746.125,FL,DIXIE,,14.028622030911139,14.028622030911139
29,2007,16083.0,12,,3098699.7413625,FL,DIXIE,,14.088496419709609,14.088496419709609
29,2008,16214.0,12,,3247707.6,FL,DIXIE,,15.208641162050228,15.208641162050228
29,2009,16403.0,12,,2874669.0413625,FL,DIXIE,,14.500168263534942,14.500168263534942
29,2010,16400.0,12,,2657110.35,FL,DIXIE,,15.664955201489008,15.664955201489008
29,2011,16406.0,12,,2560335.6750000003,FL,DIXIE,,14.807061928930487,14.807061928930487
29,2012,16153.0,12,,3326242.5943125,FL,DIXIE,,13.184114832066342,13.184114832066342
29,2013,16084.0,12,,3489151.2865875,FL,DIXIE,,11.630726530637734,11.630726530637734
29,2014,16041.0,12,,3425045.46,FL,DIXIE,,12.109261541833874,12.109261541833874
29,2015,16353.0,12,,5029532.97,FL,DIXIE,,14.987429129395773,14.987429129395773
31,2006,842098.0,12,124.0,293453353.84766245,FL,DUVAL,14.725127004220411,14.028622030911139,14.725127004220411
31,2007,851033.0,12,124.0,344997273.16648746,FL,DUVAL,14.570527817370184,14.088496419709609,14.570527817370184
31,2008,855437.0,12,89.0,408831548.94109994,FL,DUVAL,10.404039105159118,15.208641162050228,10.404039105159118
31,2009,859795.0,12,115.0,534431491.3258124,FL,DUVAL,13.375281317058135,14.500168263534942,13.375281317058135
31,2010,865628.0,12,120.0,758932754.4222,FL,DUVAL,13.86276784022698,15.664955201489008,13.86276784022698
31,2011,872355.0,12,135.0,658214148.662775,FL,DUVAL,15.475351204498168,14.807061928930487,15.475351204498168
31,2012,880108.0,12,150.0,555383443.5160125,FL,DUVAL,17.043362860012635,13.184114832066342,17.043362860012635
31,2013,885943.0,12,127.0,477975727.05675,FL,DUVAL,14.33500800841589,11.630726530637734,14.33500800841589
31,2014,896668.0,12,134.0,459122865.9224625,FL,DUVAL,14.944215696333538,12.109261541833874,14.944215696333538
31,2015,910578.0,12,146.0,469048981.7088001,FL,DUVAL,16.033771955834645,14.987429129395773,16.033771955834645
33,2006,300395.0,12,45.0,96187082.9970125,FL,ESCAMBIA,14.98027596997287,14.028622030911139,14.98027596997287
33,2007,297393.0,12,31.0,113849766.4575275,FL,ESCAMBIA,10.423917173571672,14.088496419709609,10.423917173571672
33,2008,296854.0,12,28.0,116141308.8183875,FL,ESCAMBIA,9.432246154675363,15.208641162050228,9.432246154675363
33,2009,297015.0,12,16.0,127804089.019725,FL,ESCAMBIA,5.386933319866,14.500168263534942,5.386933319866
33,2010,298038.0,12,25.0,152816298.2766,FL,ESCAMBIA,8.388192109730975,15.664955201489008,8.388192109730975
