county_fips,year,total_population,state_fips,death_drug_poisonings_unintentional,mortality_rate,mean_mortality_rate_per_state_year,filled_mortality_rate
223,2003,32625.0,48,,,8.526071492045281,8.526071492045281
223,2004,33061.0,48,,,7.5751570676608875,7.5751570676608875
223,2005,33330.0,48,,,8.75774348408746,8.75774348408746
223,2006,33746.0,48,,,12.545769398754976,12.545769398754976
223,2007,34331.0,48,,,9.459096890055822,9.459096890055822
223,2008,34472.0,48,,,10.073195142204476,10.073195142204476
223,2009,34919.0,48,,,11.214503287680074,11.214503287680074
223,2010,35208.0,48,10.0,28.402635764598955,10.423583013677874,28.402635764598955
223,2011,35259.0,48,,,10.510762041968544,10.510762041968544
223,2012,35312.0,48,,,9.643108331165203,9.643108331165203
223,2013,35299.0,48,,,9.382469924535565,9.382469924535565
223,2014,35686.0,48,,,9.98091462955963,9.98091462955963
223,2015,35973.0,48,,,9.551080383817931,9.551080383817931
225,2003,23336.0,48,,,8.526071492045281,8.526071492045281
225,2004,23578.0,48,,,7.5751570676608875,7.5751570676608875
225,2005,23500.0,48,,,8.75774348408746,8.75774348408746
225,2006,23551.0,48,,,12.545769398754976,12.545769398754976
225,2007,23641.0,48,,,9.459096890055822,9.459096890055822
225,2008,23635.0,48,,,10.073195142204476,10.073195142204476
225,2009,23660.0,48,,,11.214503287680074,11.214503287680074
225,2010,23682.0,48,,,10.423583013677874,10.423583013677874
225,2011,23434.0,48,,,10.510762041968544,10.510762041968544
225,2012,23213.0,48,,,9.643108331165203,9.643108331165203
225,2013,22809.0,48,,,9.382469924535565,9.382469924535565
225,2014,22809.0,48,,,9.98091462955963,9.98091462955963
225,2015,22747.0,48,,,9.551080383817931,9.551080383817931
227,2003,33396.0,48,,,8.526071492045281,8.526071492045281
227,2004,33403.0,48,,,7.5751570676608875,7.5751570676608875
227,2005,33277.0,48,,,8.75774348408746,8.75774348408746
227,2006,33328.0,48,,,12.545769398754976,12.545769398754976
227,2007,33817.0,48,,,9.459096890055822,9.459096890055822
227,2008,34393.0,48,,,10.073195142204476,10.073195142204476
227,2009,34882.0,48,,,11.214503287680074,11.214503287680074
227,2010,34993.0,48,,,10.423583013677874,10.423583013677874
227,2011,34990.0,48,,,10.510762041968544,10.510762041968544
227,2012,35495.0,48,,,9.643108331165203,9.643108331165203
227,2013,36185.0,48,,,9.382469924535565,9.382469924535565
227,2014,36542.0,48,,,9.98091462955963,9.98091462955963
227,2015,37123.0,48,,,9.551080383817931,9.551080383817931
229,2003,3345.0,48,,,8.526071492045281,8.526071492045281
229,2004,3345.0,48,,,7.5751570676608875,7.5751570676608875
229,2005,3416.0,48,,,8.75774348408746,8.75774348408746
229,2006,3459.0,48,,,12.545769398754976,12.545769398754976
229,2007,3462.0,48,,,9.459096890055822,9.459096890055822
229,2008,3374.0,48,,,10.073195142204476,10.073195142204476
229,2009,3423.0,48,,,11.214503287680074,11.214503287680074
229,2010,3472.0,48,,,10.423583013677874,10.423583013677874
